Owned By Check,Owned Name,Postal,Unique ID,Notes,House Name,MLO/SHELL/IPL,Shell Name,MLO Name,Rental/Mortgage,Downpayment,Total Value or Daily Rent Price,Current Mortgage Remaining,Last Login Date,Property Tax Missed,TBX Only,TBX Cost,Numb,Personal Garage,Shell Yard,Storage Count,Buisness lookup
K7CU28V2,Brandon Rockford,2013,37358.0,,2013 Grapeseed Main Street,shell,"""medium_housing2_k4mb1""",,Sale,"$18,450.00","$369,000.00",PAID OFF,9/14/2025 6:38:34,0,False,,,❌,❌,20,
QUWX243G,Dante Veyra,Pink,26735.0,,Pink Cage Rm#1C,mlo,,,Sale,$0.00,$800.00,PAID OFF,9/15/2025 4:22:10,0,False,,,❌,❌,5,
,,5060,26809.0,,Pacific Bluffs Storage Unit5,shell,"""shell_barber""",,Rent,$0.00,"$1,700.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,10,
B7RKW002,Jay Smith,9281,26832.0,,9281 Warehouse,shell,"""shell_warehouse1""",,Rent,$0.00,"$2,000.00",RENTAL PROPERTY,9/16/2025 6:00:06,0,False,,,❌,❌,15,
G070811P,Prismo Wishmaster,4013,26843.0,,4013 Clubhouse,mlo,,clubhouse_harmony,Rent,$0.00,"$6,201.00",RENTAL PROPERTY,9/16/2025 5:38:25,0,True,$75/Mo,$75.00,❌,❌,25,bar_4013
OUS03572,Skip Larmer,9312,26902.0,,9312 Warehouse B,shell,"""shell_coke1""",,Sale,"$13,500.00","$60,000.00",PAID OFF,9/16/2025 3:01:31,0,False,,,❌,❌,20,
,,10012,26968.0,"AI FAA Dealership, NEVER TO BE OWNED",10012 Dealership,mlo,,,Rent,$0.00,"$25,000.00",AVAILABLE,AVAILABLE,0,True,$100/Mo,$100.00,❌,❌,5,
,,Acheron Island,27037.0,,Acheron Island,shell,"""k4mb1_basement2_shell""",,Rent,$0.00,"$4,000.00",AVAILABLE,AVAILABLE,0,True,30$/Mo,$30.00,❌,❌,5,
KY9B02ZH,Jack Lawson,2007,47794.0,,2007Grapeseed Main St Apartment,shell,"""shell_frankaunt""",,Rent,$0.00,"$1,600.00",RENTAL PROPERTY,9/14/2025 18:33:37,0,False,,,❌,❌,20,
C1KOM237,randy hansen,3037,27282.0,,3037 Stash House,shell,"""stashhouse3_shell""",,Sale,"$4,500.00","$90,000.00","$63,484.00",9/16/2025 6:00:30,0,False,,,❌,❌,20,
KPDUSHXL,Christopher Mancuso,2020,27308.0,,2020 Clubhouse,mlo,,mc_grapeseed,Rent,$0.00,"$5,201.00",RENTAL PROPERTY,9/7/2025 18:44:01,0,True,$80/Mo,$80.00,❌,❌,15,bar_2020
ZC257571,Chibs Mcfarley,4007 A,84095.0,,4007 A Senora Rd,shell,"""medium_housing2_k4mb1""",,Sale,"$10,750.00","$215,000.00","$204,250.00",9/15/2025 16:58:07,0,False,,,❌,❌,20,
,,7019,27647.0,,7019 Apartment A,shell,"""default_housing4_k4mb1""",,Sale,"$21,250.00","$425,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
Y68NA381,Silas Skarvald,1034,27865.0,Bash - Left off here for renaming,1034 Ammunation,mlo,,,Rent,$0.00,"$5,500.00",RENTAL PROPERTY,9/14/2025 22:49:59,0,False,,,❌,❌,20,ammunation_1034
ANJ72890,Paddy McSorely,2048,27895.0,,Wright's Tests House,shell,"""shell_warehouse2""",,Sale,$0.00,$5.00,PAID OFF,9/5/2025 4:07:59,0,False,,,❌,❌,200,
XD0XQ1X9,Bella Antwood,8120,28539.0,,8120 House A,mlo,,,Rent,$0.00,"$3,500.00",RENTAL PROPERTY,9/2/2025 3:24:14,0,False,,,❌,❌,20,
YUD51814,Daniel Walker,6085 B,28580.0,,6085 Whispymound Drive B,mlo,,,Sale,"$105,000.00","$2,100,000.00","$918,849.00",8/29/2025 17:04:16,0,False,,,❌,❌,10,
P8DN2B27,Danny Vella,787,28649.0,,787 Roxwood B,shell,"""classichouse_shell""",,Rent,$0.00,"$3,500.00",RENTAL PROPERTY,9/15/2025 0:03:04,0,False,,,❌,❌,20,
LAZIH2EH,Marcus Bernett,8210,28662.0,,8210 Digital Den,mlo,,,Rent,$0.00,"$2,500.00",RENTAL PROPERTY,9/16/2025 2:52:13,0,False,,,❌,❌,5,digital_8210
,,9082,28679.0,,9082 Apartment 5,shell,"""shell_v16low""",,Rent,$0.00,"$1,500.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
U2SL4803,Mike Lewis,8116,28703.0,,8116 House B,mlo,,,Rent,$0.00,"$3,500.00",RENTAL PROPERTY,9/16/2025 14:10:13,0,False,,,❌,❌,20,
U58I1I0R,Leilani Luciano,4020,28795.0,,4020 dealership,mlo,,,Rent,$0.00,"$7,500.00",RENTAL PROPERTY,9/16/2025 3:34:42,0,False,,,❌,❌,5,dealership_4020
,,Sandy,28909.0,,Sandy Motel Rm#105,mlo,,cfx_gn_sandy_motel,Rent,$0.00,$350.00,AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,
,,Roxwood,29184.0,,Roxwood Heights Room 105,shell,"""k4_motel2_shell""",,Rent,$0.00,"$2,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,
,,6029,29890.0,,6029 North Rockford Drive,shell,"""deluxe_housing2_k4mb1""",,Sale,"$105,000.00","$2,100,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
G070811P,Prismo Wishmaster,3031,30187.0,,3031 Sandy Safe Place,shell,"""safehouse_k4mb1""",,Sale,"$8,750.00","$175,000.00",PAID OFF,9/16/2025 5:38:25,0,False,,,❌,❌,4,
LMT0EBZX,Wyatt Raynne,1020,30547.0,,1020 Warehouse,shell,"""warehouse_k4mb1""",,Sale,"$12,530.00","$60,000.00",PAID OFF,9/14/2025 1:56:09,0,False,,,❌,❌,20,
UW3AT40K,Mason Eakin,9322,30562.0,,9322 La Mesa,shell,"""k4mb1_basement1_shell""",,Sale,"$3,000.00","$60,000.00","$53,188.00",9/16/2025 14:10:13,0,False,,,❌,❌,20,
,,3034,30628.0,,Stab City trailer H,shell,"""shell_trailer""",,Sale,"$3,500.00","$70,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,3034,30784.0,,Stab City Trailer J,shell,"""shell_trailer""",,Sale,"$3,500.00","$70,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
L2GE789M,Moose Ehdian,8222,48454.0,,La Puerta Melanoma St 543,shell,"""classichouse3_shell""",,Sale,"$6,725.00","$135,000.00","$128,275.00",9/16/2025 14:10:13,0,False,,,❌,❌,20,
,,7037,31062.0,,7037 Americano Way,shell,"""manor_housing1_k4mb1""",,Sale,"$150,000.00","$3,000,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
BC6445S4,Phil Johnson,9045,31091.0,,9045 Mechanic,mlo,,,Rent,$0.00,"$7,000.00",RENTAL PROPERTY,9/16/2025 7:22:53,0,True,$40/month,$40,❌,❌,30,"scrap_9045, mechanic9045"
RYC85207,Raven Apollo,4024,31117.0,"Raven - Currently No Sub Required, Per Agreement",Grand Senora Desert Route 68 399,mlo,,,Rent,$0.00,"$8,000.00",RENTAL PROPERTY,9/16/2025 2:06:25,0,True,$35/month,$35,❌,❌,20,
,,9139,31196.0,,Raines Gas and Aid,shell,"""shell_gunstore""",,Rent,$0.00,"$5,450.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,"ltd_9139, gas_9139"
,,DC,31230.0,,dc hotel #204,shell,"""k4_hotel2_shell""",,Rent,$0.00,"$1,500.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
N14Q0XFD,Brandon Chavis,7343,31244.0,,The Golden Pub 7343,mlo,,,Rent,$0.00,"$6,000.00",RENTAL PROPERTY,9/15/2025 17:51:49,0,False,,,❌,❌,20,bar_7343
UM3Q7ALS,Valkyrie Scorpion,9051,31342.0,,9051 LTD & Gas Station,shell,"""shell_gunstore""",,Rent,$0.00,"$4,400.00",RENTAL PROPERTY,9/16/2025 5:25:43,0,False,,,❌,❌,5,"ltd_9051, gas_9051"
O735A831,Doc Holiday,3034,31370.0,,3034 Stab City Trailer,shell,"""k4mb1_basement1_shell""",,Sale,"$2,250.00","$45,000.00",PAID OFF,9/16/2025 5:42:15,0,False,,,❌,❌,20,
ZDC9SJ2J,John Long,4025,31377.0,,4025 Harmony Mechanic/Parts,mlo,,,Rent,$0.00,"$4,000.00",RENTAL PROPERTY,9/16/2025 4:46:09,0,True,$50/month,$50.00,❌,❌,30,"autopart_4025, mechanic4025"
N0PU6489,Seth Connor,3049,31731.0,,Sandy Shores Smoke Tree Rd 960,shell,"""shell_trailer""",,Sale,"$4,500.00","$90,000.00",PAID OFF,9/15/2025 23:44:23,0,False,,,❌,❌,15,
,,Del,31770.0,,del perro heights #105,shell,"""k4_hotel2_shell""",,Rent,$0.00,"$1,700.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,8106,31809.0,,Vespucci Canals Cortes St 212,shell,"""stashhouse3_shell""",,Sale,"$22,500.00","$450,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
M534OLL6,Caden Miller,1102,31816.0,,1102 Bunker,mlo,,,Rent,$0.00,"$5,500.00",RENTAL PROPERTY,9/14/2025 22:56:05,0,False,,,❌,❌,20,
G5FS8IT8,Olive Johnson,2049,31943.0,,East Joshua Rd ,shell,"""medium_housing1_k4mb1""",,Sale,"$25,000.00","$500,000.00",PAID OFF,9/14/2025 23:05:53,0,False,,,❌,❌,5,
QXSS3TZ3,John Walker,9002,31951.0,,La Puerta La Puerta Fwy 424,shell,"""k4mb1_basement1_shell""",,Sale,"$12,500.00","$250,000.00",PAID OFF,9/16/2025 0:56:06,0,False,,,❌,❌,30,
NKZP7OS5,Lionel Pepper,2016 B,31990.0,,2016 Grapeseed Main Street B,shell,"""classichouse2_shell""",,Sale,"$22,500.00","$450,000.00",PAID OFF,8/23/2025 7:25:46,0,False,,,❌,❌,10,
,,Roxwood,32194.0,,Roxwood Heights Room 201,shell,"""k4_motel3_shell""",,Rent,$0.00,"$2,500.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,
B6J21ACZ,Dexter Kray,7270,32228.0,,The Mendez Group,mlo,,,Rent,$0.00,"$4,500.00",RENTAL PROPERTY,9/16/2025 3:58:10,0,False,,,❌,❌,5,
N14Q0XFD,Brandon Chavis,6122,77425.0,,6122 Hillcrest Avenue,mlo,,,Rent,$0.00,"$5,000.00",RENTAL PROPERTY,9/15/2025 17:51:49,0,False,,,❌,❌,20,
,,Roxwood,32696.0,,Roxwood Heights Room 107,shell,"""k4_motel2_shell""",,Rent,$0.00,"$2,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,
D3VUAWD8,Larry Simpson,9359,32697.0,,9359 South Shambles Street,shell,"""shell_garagem""",,Rent,$0.00,"$4,000.00",RENTAL PROPERTY,9/8/2025 17:58:37,0,False,,,❌,❌,20,
,,5040,32741.0,,5040 Barbareno Rd ,shell,"""shell_trevor""",,Sale,"$30,000.00","$600,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
W0RLF0V3,Jaieger Cage,1079,32778.0,,1079 Mechanic,mlo,,,Rent,$0.00,"$5,000.00",RENTAL PROPERTY,9/12/2025 21:14:22,0,False,,,❌,❌,60,"autopart_1079, mechanic1079"
XD0XQ1X9,Bella Antwood,5047,32812.0,,5047 Mom's pie diner,shell,"""default_housing5_k4mb1""",,Rent,$0.00,"$1,500.00",RENTAL PROPERTY,9/2/2025 3:24:14,0,False,,,❌,❌,20,
O073WWUB,Zippy Marblez,9043,32823.0,,Strawberry Power St 576,shell,"""stashhouse1_shell""",,Sale,"$17,500.00","$350,000.00","$246,882.00",9/16/2025 8:00:15,0,False,,,❌,❌,20,
V29FE74Y,Brandon Zane,2048,32890.0,,2048 House Joshua Road,shell,"""shell_frankaunt""",,Sale,"$23,350.00","$467,000.00","$413,981.00",9/14/2025 23:12:10,0,False,,,❌,❌,20,
KAG67598,Naphtali Benesh,7342,33048.0,,7342 Nikola Place 4,mlo,,,Sale,"$60,000.00","$1,200,000.00",PAID OFF,9/16/2025 3:04:30,0,False,,,❌,❌,5,
KE9V39J1,Timothy Young,9132,33082.0,,9132 Taco Shop,shell,"""shell_store1""",,Rent,$0.00,"$3,500.00",RENTAL PROPERTY,9/16/2025 5:32:12,0,False,,,❌,❌,20,bar_9132
Q2U4968A,Tommy Weber,9094,33089.0,,9094 A Grove Street,shell,"""medium_housing1_k4mb1""",,Sale,"$20,500.00","$410,000.00",PAID OFF,9/16/2025 3:28:58,0,False,,,❌,❌,5,
Q53ZE6K6,robby smokes,5032,33255.0,,5032 Barbareno Road,shell,"""classichouse3_shell""",,Sale,"$47,500.00","$950,000.00","$661,080.00",9/16/2025 12:09:44,0,False,,,❌,❌,20,
ALQRJPKM,Keith Jackson,5031,33256.0,,5031 Barbareno Road,shell,"""k4mb1_house1_shell""",,Sale,"$46,750.00","$935,000.00","$606,400.00",9/15/2025 7:09:44,0,False,,,❌,❌,20,
,,9023,33900.0,,9023 Warehouse,shell,"""shell_warehouse2""",,Rent,$0.00,"$6,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
OC83YW4S,Amelia Lopez,9052,34017.0,,Strawberry Crusade Rd 570,shell,"""warehouse_k4mb1""",,Rent,$0.00,"$2,500.00",RENTAL PROPERTY,9/16/2025 1:40:02,0,False,,,❌,❌,20,
IW7GL39X,Nicolas Taylor,932,34024.0,,932 House 1 Roxwood,mlo,,,Sale,"$27,250.00","$545,000.00","$384,430.00",9/16/2025 3:12:58,0,False,,,❌,❌,15,
,,Forum,34082.0,,Forum Drive Apartments #2,shell,"""k4_motel1_shell""",,Rent,$0.00,$800.00,AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,
,,Forum,34160.0,,Forum Drive Apartments #9,shell,"""k4_motel1_shell""",,Rent,$0.00,$800.00,AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,
,,789,34222.0,,789 Roxwood C,shell,"""kambi_emptyhouse1""",,Rent,$0.00,"$3,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,5045,34332.0,,Banham Canyon Ineseno Road 599,shell,"""shell_banham""",,Sale,"$90,000.00","$1,800,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
OC83YW4S,Amelia Lopez,10079,34364.0,,Club 77 Warehouse,shell,"""shell_warehouse3""",,Sale,"$3,500.00","$60,000.00",PAID OFF,9/16/2025 1:40:02,0,False,,,❌,❌,20,
B4JGYUN7,Eko Zornsson,3034,34759.0,,Stab City Trailer C,shell,"""shell_trailer""",,Sale,"$3,500.00","$70,000.00",PAID OFF,9/16/2025 4:35:38,0,False,,,❌,❌,20,
,,5033,34906.0,,5033 Ammunation,mlo,,,Rent,$0.00,"$4,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,ammunation_5033
IZDL4AXT,CJ Colt,7001,35253.0,,Xero Andretti Fuel @ 7001,shell,"""shell_gunstore""",,Rent,$0.00,"$4,400.00",RENTAL PROPERTY,9/13/2025 22:26:24,0,False,,,❌,❌,5,"ltd_7001, gas_7001"
HNI4T59I,Jack Byers,7144,35390.0,,7144 Haywick home 1,shell,"""k4mb1_house1_shell""",,Sale,"$5,416.00","$108,333.00",PAID OFF,9/16/2025 3:43:19,0,False,,,❌,❌,20,
O451733J,Blake Wolf,7320,35405.0,,7320 West Mirror Drive,mlo,,,Rent,$0.00,"$5,500.00",RENTAL PROPERTY,9/16/2025 12:47:37,0,False,,,❌,❌,5,
,,783,35459.0,,783 Roxwood C,shell,"""medium_housing1_k4mb1""",,Rent,$0.00,"$2,500.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
XD0XQ1X9,Bella Antwood,986,35494.0,,986 House 3 Roxwood,shell,"""default_housing6_k4mb1""",,Sale,"$37,500.00","$750,000.00",PAID OFF,9/2/2025 3:24:14,0,False,,,❌,❌,20,
B6J21ACZ,Dexter Kray,5012,35558.0,,Tony Stark House,mlo,,,Rent,"$300,000.00","$6,000.00",RENTAL PROPERTY,9/16/2025 3:58:10,0,False,,,❌,❌,20,
C5VK03CF,Jake Holiday,4013,35596.0,,4013 Joshua Road E,shell,"""medium_housing2_k4mb1""",,Sale,"$7,505.00","$150,100.00",PAID OFF,9/3/2025 23:28:26,0,False,,,❌,❌,5,
,,783,35635.0,,783 Roxwood D,shell,"""medium_housing2_k4mb1""",,Rent,$0.00,"$2,500.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
LAZIH2EH,Marcus Bernett,6175 B,35655.0,,6175 Gantry Lane B,shell,"""deluxe_housing1_k4mb1""",,Sale,"$55,000.00","$1,100,000.00","$555,812.00",9/16/2025 2:52:13,0,False,,,❌,❌,10,
BE363RDN,JT Watson,4013,36042.0,,4013 Joshua Road D,shell,"""medium_housing3_k4mb1""",,Sale,"$7,495.00","$149,900.00",PAID OFF,9/15/2025 3:37:15,0,False,,,❌,❌,5,
N3N07E96,Arthur Cross,7317,36110.0,,7317 West Mirror Drive,mlo,,,Sale,"$64,500.00","$1,290,000.00",PAID OFF,9/15/2025 17:26:36,0,False,,,❌,❌,25,
G070811P,Prismo Wishmaster,3033,36227.0,,3033 Basement B,shell,"""k4mb1_basement2_shell""",,Sale,"$4,500.00","$90,000.00",PAID OFF,9/16/2025 5:38:25,0,False,,,❌,❌,20,
Z5TFX0GN,Derek Brimstone,Pink,36524.0,,Jr's Room,mlo,,,Rent,$0.00,$800.00,RENTAL PROPERTY,8/26/2025 0:29:34,0,False,,,❌,❌,5,
,,7342,23343.0,,7342 Nikola Place 1,mlo,,,Sale,"$45,500.00","$910,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,1021,36657.0,,1021 Warehouse,shell,"""shell_warehouse2""",,Rent,$0.00,"$6,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,DC,36725.0,,dc hotel #201,shell,"""k4_hotel2_shell""",,Rent,$0.00,"$1,500.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
FKTZ57A7,JB Browning,3034,36815.0,,Stab City Trailer D,shell,"""shell_trailer""",,Sale,"$3,500.00","$70,000.00",PAID OFF,9/15/2025 1:24:17,0,False,,,❌,❌,20,
H667KW36,wilson fisk,5039,36896.0,,Galapagos Farm Shed A,shell,"""shell_coke2""",,Sale,"$2,500.00","$50,000.00",PAID OFF,9/15/2025 0:00:22,0,False,,,❌,❌,20,
,,9170,36935.0,,9170 Jamestown Street,mlo,,,Sale,"$21,250.00","$425,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
L7B53KCT,Tomasz Nowak,4012,36939.0,,4012 Route 68 Approach,shell,"""medium_housing3_k4mb1""",,Sale,"$9,900.00","$198,000.00",PAID OFF,9/10/2025 19:49:53,0,False,,,❌,❌,20,
,,SC 14,37019.0,,SC 14,shell,"""default_housing5_k4mb1""",,Sale,"$26,200.00","$524,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
A39LS499,Jordan Ramirez,9228,37044.0,,Cypress Flats Popular St 231,shell,"""shell_warehouse2""",,Rent,$0.00,"$6,000.00",RENTAL PROPERTY,9/16/2025 8:53:57,0,False,,,❌,❌,20,
,,6177 G,37190.0,,6177 Gantry Lane G,shell,"""medium_housing2_k4mb1""",,Sale,"$25,000.00","$500,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,10,
A63S7K7B,James White,4016,37401.0,,4016 Route 68 A,shell,"""shell_trailer""",,Sale,"$4,000.00","$80,000.00","$46,475.00",9/13/2025 9:30:00,0,False,,,❌,❌,20,
F27309Q6,Mikhael Saratov,9184,37493.0,,9184 Jamestown Street Apartment J,shell,"""shell_v16mid""",,Sale,"$17,500.00","$350,000.00","$248,544.00",9/6/2025 13:26:05,0,False,,,❌,❌,20,
G5FS8IT8,Olive Johnson,9334,37642.0,,9334 Oil Fields,shell,"""medium_housing2_k4mb1""",,Sale,"$17,500.00","$349,990.00",PAID OFF,9/14/2025 23:05:53,0,False,,,❌,❌,20,
,,7298,13228.0,,7298 Apartment C,shell,"""k4_motel1_shell""",,Sale,"$4,500.00","$90,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
F9RO5756,Molly Cross,Sandy,37926.0,,Sandy Motel Rm#117,mlo,,cfx_gn_sandy_motel,Rent,$0.00,$350.00,RENTAL PROPERTY,9/3/2025 2:03:12,0,False,,,❌,❌,5,
P0JRNWUP,Drizzazy Blaze,9183,38166.0,,9183 Jamestown Street Apartment A,shell,"""shell_v16mid""",,Sale,"$17,500.00","$350,000.00",PAID OFF,9/16/2025 7:45:09,0,False,,,❌,❌,20,
V6F5873J,Kenny Kline,9386,38179.0,,9386 Warehouse 2,shell,"""shell_garagem""",,Rent,$0.00,"$6,000.00",RENTAL PROPERTY,9/14/2025 19:51:44,0,False,,,❌,❌,35,
ZDC9SJ2J,John Long,4025,38243.0,,4024 Gas and LTD,mlo,,,Rent,$0.00,"$4,570.00",RENTAL PROPERTY,9/16/2025 4:46:09,0,False,,,❌,❌,20,"247_4024, gas_4024"
NC2TI902,Bebo Santiago,7355,38403.0,,24/7 & Gas Station,mlo,,,Rent,$0.00,"$5,450.00",RENTAL PROPERTY,9/15/2025 5:44:01,0,False,,,❌,❌,5,"247_7355, gas_7355"
,,6177 D,38437.0,,6177 Gantry Lane D,shell,"""medium_housing2_k4mb1""",,Sale,"$25,000.00","$500,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,10,
ZW71YK3B,Stepphi Gale,3029,38488.0,,3029 North Calfia Road,mlo,,,Rent,$0.00,"$3,000.00",RENTAL PROPERTY,9/16/2025 1:30:57,0,True,$20/month,$20.00,❌,❌,5,
,,Sandy,38533.0,,Sandy Motel Rm#118,mlo,,cfx_gn_sandy_motel,Rent,$0.00,$350.00,AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,
CRK75IIO,Jonathon Downs,Sandy,38536.0,,Sandy Shores Motel Room -220,mlo,,,Rent,$0.00,$450.00,RENTAL PROPERTY,9/16/2025 6:46:36,0,False,,,❌,❌,5,
OT5UN95N,Max Jefferson,7298,45805.0,,7298 Apartment D,shell,"""k4_motel1_shell""",,Sale,"$4,500.00","$90,000.00",PAID OFF,9/16/2025 1:44:53,0,False,,,❌,❌,20,
,,Eastern,38582.0,,Eastern Motel Rm# 002,mlo,,,Rent,$0.00,$600.00,AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,
MF53V9J5,Troy Smith,5001,38661.0,,5001 Warehouse,shell,"""shell_warehouse2""",,Rent,$0.00,"$6,000.00",RENTAL PROPERTY,9/16/2025 7:07:17,0,False,,,❌,❌,15,
,,Eastern,38691.0,,Eastern Motel Rm# 006,mlo,,,Rent,$0.00,$600.00,AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,
,,5039,38811.0,,Galapagos Farm A,mlo,,,Sale,"$65,000.00","$1,300,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
HEMZADXW,Finn Scorpion,912,38906.0,,912 Roxwood,mlo,,,Sale,"$18,400.00","$368,000.00",PAID OFF,9/16/2025 2:24:46,0,False,,,❌,❌,20,
ALB6ZKNQ,Logan Ward,7121,38925.0,,7121 Ammunation,mlo,,,Rent,$0.00,"$4,200.00",RENTAL PROPERTY,9/12/2025 23:34:50,0,False,,,❌,❌,20,ammunation_7121
,,DC,38984.0,,dc hotel #105,shell,"""k4_hotel1_shell""",,Rent,$0.00,"$1,300.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,7093,39117.0,,7093 24/7,mlo,,,Rent,$0.00,"$5,369.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,247_7093
WOH47018,Alexandre Phillips,5055,39205.0,,Banham Canyon Ineseno Road 738,shell,"""shell_banham""",,Sale,"$90,000.00","$1,800,000.00","$1,691,913.00",9/1/2025 0:20:23,0,False,,,❌,❌,20,
,,9113,39326.0,,9113 Davis Roy Lowenstein Blvd 408,shell,"""default_housing5_k4mb1""",,Sale,"$25,000.00","$500,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,5011,39402.0,,5011 Gas Station,shell,"""shell_store2""",,Rent,$0.00,"$4,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,gas_5011
,,9366,39414.0,,9366 Clubhouse,mlo,,malmqvist-studios-biker-house,Rent,$0.00,"$5,200.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,15,bar_9366
,,1024,39475.0,,1024 unit 2,shell,"""k4_motel2_shell""",,Rent,$0.00,"$1,500.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,Eastern,39503.0,,Eastern Motel Rm# 009,mlo,,,Rent,$0.00,$600.00,AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,
,,6154,39623.0,,6154 Vinewood Hills,shell,"""manor_housing1_k4mb1""",,Sale,"$87,500.00","$1,750,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,35,
,,1024,39654.0,,1024 Unit 3,shell,"""k4_motel2_shell""",,Rent,$0.00,"$1,500.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,972,39696.0,,972 House 3 Roxwood,shell,"""manor_housing1_k4mb1""",,Sale,"$75,000.00","$1,500,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,10,
,,DC,39831.0,,dc hotel #300,shell,"""k4_hotel3_shell""",,Rent,$0.00,"$2,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
Y2JFR94N,Svetlana Petrovski,4001,39858.0,,Garcia Acres,mlo,,,Sale,"$30,950.00","$619,000.00",PAID OFF,9/6/2025 0:41:24,0,False,,,❌,❌,5,
AFF96470,David Omalley,9045,39943.0,,9045 Underpass House,shell,"""shell_lester""",,Sale,"$14,000.00","$280,000.00",PAID OFF,9/16/2025 5:45:17,0,False,,,❌,❌,5,
HEMZADXW,Finn Scorpion,1071,40178.0,, 1071 Procopio Dr,shell,"""shell_v16mid""",,Sale,"$17,000.00","$340,000.00",PAID OFF,9/16/2025 2:24:46,0,False,,,❌,❌,20,
OC83YW4S,Amelia Lopez,3025,40191.0,,3025 Marina Drive,shell,"""default_housing3_k4mb1""",,Sale,"$7,500.00","$150,000.00",PAID OFF,9/16/2025 1:40:02,0,False,,,❌,❌,20,
HQK23619,Miki Andretti,4020,40211.0,,4020 Warehouse B,shell,"""shell_garagem""",,Sale,"$19,500.00","$60,000.00",PAID OFF,9/16/2025 4:38:38,0,False,,,❌,❌,25,
Y2JFR94N,Svetlana Petrovski,7343,40468.0,,7343 Warehouse,shell,"""k4mb1_basement2_shell""",,Sale,"$8,750.00","$60,000.00",PAID OFF,9/6/2025 0:41:24,0,False,,,❌,❌,25,
,,Sandy,40536.0,,Sandy Motel Rm#206,mlo,,cfx_gn_sandy_motel,Rent,$0.00,$450.00,AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,
,,9075 C,16080.0,,9075 Forum Drive C,shell,"""medium_housing2_k4mb1""",,Sale,"$16,000.00","$320,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,7023,40772.0,,7023 Apartment E,shell,"""default_housing5_k4mb1""",,Sale,"$21,250.00","$425,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
E24CLW79,Luke Parker,8130,41040.0,,8130 House B,mlo,,,Rent,$0.00,"$3,500.00",RENTAL PROPERTY,9/16/2025 6:41:26,0,False,,,❌,❌,20,
,,2007,12415.0,,Grapeseed Main St 2007,shell,"""warehouse_k4mb1""",,Rent,$0.00,"$6,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
